True Category,Predicted
Category 1,Category 1
Category 2,Category 1
Category 2,Category 9
Category 3,Category 1
Category 2,Category 2
Category 1,Category 1
Category 1,Category 1
Category 4,Category 4
Category 1,Category 1
Category 5,Category 5
Category 6,Category 1
Category 5,Category 1
Category 1,Category 1
Category 1,Category 4
Category 7,Category 7
Category 1,Category 1
Category 1,Category 1
Category 2,Category 1
Category 1,Category 1
Category 2,Category 2
Category 2,Category 2
Category 1,Category 1
Category 3,Category 3
Category 2,Category 2
Category 2,Category 1
Category 1,Category 1
Category 2,Category 2
Category 5,Category 5
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 6,Category 1
Category 2,Category 2
Category 8,Category 8
Category 1,Category 1
Category 1,Category 1
Category 2,Category 1
Category 2,Category 1
Category 1,Category 1
Category 2,Category 4
Category 4,Category 1
Category 3,Category 3
Category 3,Category 8
Category 2,Category 2
Category 1,Category 1
Category 2,Category 1
Category 7,Category 1
Category 5,Category 2
Category 2,Category 1
Category 1,Category 1
Category 2,Category 3
Category 1,Category 1
Category 9,Category 9
Category 8,Category 1
Category 1,Category 1
Category 1,Category 7
Category 2,Category 1
Category 1,Category 1
Category 3,Category 3
Category 2,Category 2
Category 2,Category 1
Category 5,Category 1
Category 6,Category 7
Category 8,Category 8
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 8,Category 8
Category 2,Category 1
Category 2,Category 1
Category 4,Category 8
Category 3,Category 3
Category 1,Category 7
Category 2,Category 1
Category 1,Category 1
Category 4,Category 4
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 2,Category 2
Category 1,Category 1
Category 2,Category 1
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 1,Category 2
Category 4,Category 4
Category 1,Category 1
Category 9,Category 9
Category 2,Category 1
Category 2,Category 2
Category 7,Category 1
Category 1,Category 1
Category 7,Category 7
Category 9,Category 1
Category 5,Category 5
Category 1,Category 1
Category 1,Category 1
Category 2,Category 2
Category 4,Category 1
Category 2,Category 7
Category 5,Category 5
Category 2,Category 1
Category 2,Category 2
Category 1,Category 1
Category 1,Category 1
Category 2,Category 2
Category 1,Category 1
Category 1,Category 1
Category 2,Category 2
Category 9,Category 5
Category 2,Category 1
Category 2,Category 1
Category 2,Category 2
Category 8,Category 1
Category 4,Category 1
Category 2,Category 1
Category 2,Category 1
Category 2,Category 1
Category 8,Category 1
Category 2,Category 1
Category 3,Category 3
Category 7,Category 7
Category 1,Category 1
Category 1,Category 1
Category 7,Category 1
Category 1,Category 7
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 2,Category 2
Category 4,Category 1
Category 1,Category 1
Category 2,Category 1
Category 1,Category 1
Category 2,Category 1
Category 1,Category 1
Category 9,Category 9
Category 1,Category 1
Category 1,Category 8
Category 1,Category 1
Category 1,Category 9
Category 1,Category 1
Category 1,Category 2
Category 6,Category 1
Category 6,Category 1
Category 2,Category 1
Category 2,Category 1
Category 2,Category 1
Category 2,Category 2
Category 1,Category 1
Category 3,Category 4
Category 9,Category 1
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 6,Category 6
Category 1,Category 3
Category 2,Category 1
Category 1,Category 1
Category 1,Category 1
Category 2,Category 1
Category 1,Category 1
Category 1,Category 7
Category 2,Category 2
Category 2,Category 2
Category 1,Category 1
Category 1,Category 1
Category 2,Category 2
Category 8,Category 1
Category 1,Category 1
Category 9,Category 9
Category 4,Category 8
Category 2,Category 1
Category 1,Category 1
Category 1,Category 1
Category 2,Category 9
Category 2,Category 2
Category 8,Category 8
Category 2,Category 2
Category 1,Category 1
Category 8,Category 1
Category 1,Category 9
Category 2,Category 1
Category 2,Category 2
Category 1,Category 1
Category 9,Category 1
Category 6,Category 1
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 8,Category 6
Category 1,Category 1
Category 2,Category 2
Category 1,Category 1
Category 1,Category 1
Category 8,Category 8
Category 2,Category 1
Category 1,Category 1
Category 2,Category 1
Category 1,Category 1
Category 7,Category 1
Category 4,Category 3
Category 6,Category 2
Category 1,Category 5
Category 5,Category 1
Category 1,Category 1
Category 2,Category 1
Category 2,Category 1
Category 5,Category 1
Category 5,Category 1
Category 1,Category 1
Category 6,Category 8
Category 6,Category 1
Category 1,Category 1
Category 4,Category 4
Category 3,Category 1
Category 1,Category 1
Category 1,Category 1
Category 9,Category 9
Category 1,Category 1
Category 1,Category 1
Category 2,Category 1
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 1,Category 1
Category 2,Category 2
Category 2,Category 2
Category 9,Category 9
Category 6,Category 6
Category 2,Category 7
Category 1,Category 1
Category 3,Category 1
Category 6,Category 6
Category 9,Category 9
Category 8,Category 1
Category 7,Category 1
Category 1,Category 1
Category 3,Category 8
Category 2,Category 1
Category 7,Category 5
Category 3,Category 3
Category 1,Category 1
Category 2,Category 2
Category 1,Category 1
Category 1,Category 3
Category 1,Category 4
Category 9,Category 9
Category 1,Category 9
Category 2,Category 1
Category 1,Category 5
Category 1,Category 1
Category 6,Category 9
Category 2,Category 2
Category 1,Category 1
Category 6,Category 1
Category 2,Category 2
Category 2,Category 5
Category 7,Category 7
Category 1,Category 1
Category 4,Category 1
Category 7,Category 7
Category 6,Category 6
Category 7,Category 1
Category 1,Category 1
Category 2,Category 2
Category 6,Category 6
Category 1,Category 1
Category 1,Category 1
Category 2,Category 1
Category 2,Category 2
Category 2,Category 1
Category 2,Category 1
Category 3,Category 1
Category 2,Category 1
Category 7,Category 7
Category 7,Category 1
Category 1,Category 1
Category 2,Category 7
Category 1,Category 1
Category 1,Category 7
